,User,Tweet
80,Jean_deValette,"PM Modi wishes countrymen on the occasion of Christmas | Mint

Prime Minister Narendra Modi of India wished everyone a Merry Christmas while hoping that the day would further the spirit of harmony and joy in society.

British leftists don’t. Why not? https://t.co/YSLRixUefi"
81,librarial1,"What the Parachute PM here meant to say is 'Jeremy Hunt, the REAL Prime Minister, says you're on your own, plebs.'"
82,Biswaji03332329,Send your messages to A GREAT SON PM NREDRA MODI LOST HIS GREAT MOTHER . Minister Modi https://t.co/Lqb5mzgajp
83,KJGeorge48,"@marvindh @NAR_Handle @KTRTRS @prakashraaj @pbhushan1 @BTR_KTR @akshayhunka @rejitweets @zoo_bear @KonathamDileep @YunusLasania @drgaganbhagat Hiraben Modi was the mother of Mr. Narendra Modi, Not the mother of the Prime Minister of India. The PM has no mother."
84,DDNational,"Watch Swaraj...Velu Thampi Dalawa, Prime Minister of Travancore who led the masses against the cruel East India Company in an epic struggle to protect the homeland… TONIGHT at 9 pm on @DDNational 

#SwarajOnDoordarshan
#IndianHistory
#FreedomFighters
#UnsungHeroes https://t.co/Ihuig3YR7a"
85,AndrewRCraig,"@nsarwark A lot of the powers vested in the US Speaker (like controlling the agenda) are, in the British system, vested in the government (in practice, the PM) which by definition has a working majority. But in the US, the speaker is the closest thing the House has to a prime minister."
86,udaysha65752357,"Declare Samet Shikharji as pavitra hill.

# pmo office# minority minister# AKP# Pravar Samiti# Amit shah# PM narendra modi# Tourism minister# CM Jarkhand#Jains"
87,0920matnow,"@FibonacciMonica Monica 👍#uarecorrect👍
🇨🇦PM entails definition &amp;
responsibility.
Prime=🇨🇦's QUALITY.
Minister=Attend to 🇨🇦's NEEDS.
When beef is prime; the #steak
gets respect. It ministers to the
needs of the body. 
Justin misinterprets his PM &amp;
puts 🇨🇦@stake. 
JustinIs #TooBusy PMing himself."
88,RohitKu56762491,"Nitish Kumar makes veiled attack on RSS, PM Modi; says talks are all around about 'new father of modern India' Nitish vs BJP: Bihar Chief Minister Nitish Kumar, on Saturday, made a veiled attack on the Rashtriya Swayamsevak Sangh (RSS) and Prime Minister Narendra Modi.... ""F… https://t.co/ep0xWJZDZ2"
89,Blueskydaysaway,@RishiSunak You have the personality of a damp rag! You aren’t my Prime-minister and never will be. You got into no.10 by ousting the best PM this country has ever had. You are lower than a snakes belly. You and 50 backroom boys have destroyed your own party.
90,Anshuman19_,"Intellectuals want Rahul Gandhi to become the Prime Minister of the country just because of he is roaming in a half t-shirt even in the cold.

Eligibility of Rahul Gandhi for PM, worn half t-shirt."
91,RudraSekhri,"If you didn't already hear the news, prime minister of India Narendra Modi's mother has died. I send my condolences to the Prime Minister and it's great to see a PM who is able to continue his duty even during the saddest of times #ModiGovt"
92,Delhi2010N,@ShimlaHelpline I have seen working of IG right when she was Information minister to PM. She may be Iron Lady but certainly not boldest. Modiji is boldest and successful PM since  independence. He is fighting 2.5 enemy fronts
93,Indsamachar,"As the year ends, take a look at some memorable moments of Prime Minister @narendramodi from various events throughout the year.

PM Modi performs ‘Parikrama’ at Kedarnath Dham in Uttarakhand.' https://t.co/ihQKYkPSvi"
